filename,size
Close Grand 68.wav,101476
emerald ~.wav,61646
OSTR F2.wav,84280
ImpactSD62.wav,149492
kick 1 v10 rr1.wav,17034
Close Grand 25.wav,197766
snare 1 rim v8 rr1.wav,7316
snare rim hq jazz #3.wav,26052
Close Grand 35.wav,199366
FL Piano (25).wav,133496
VRZ Full Strings Vibrato (9).wav,73068
tom 4 hq jazz #3.wav,49328
splash hq jazz #5.wav,62532
snare hit hq jazz #2.wav,23576
hh open hq jazz #7.wav,55906
FL Piano (43).wav,84404
Close Grand 43.wav,175506
ride hq jazz #8.wav,58682
Close Grand 83.wav,35938
kick 1 hq jazz #5.wav,44730
Close Grand 9.wav,169752
hihat 3 v4 rr1.wav,11300
crash 2 v7 rr1.wav,69382
crash 1 v7 rr1.wav,229448
snare side hq jazz #1.wav,13914
med tom 3 v4 rr2.wav,56616
Close Grand 44.wav,187930
tom 3 hq jazz #7.wav,49718
hh closed hq jazz #1.wav,11236
Close Grand 61.wav,138270
tom 2 hq jazz #7.wav,47618
crash hq jazz #1.wav,59398
hh pedal hq jazz #6.wav,17600
hh half hq jazz #1.wav,29430
Close Grand 64.wav,103162
FL Piano (12).wav,123864
med tom 3 v4 rr1.wav,56436
VRZ Full Strings Vibrato (2).wav,34704
ride 1 v6 rr1.wav,66374
tom 1 hq jazz #2.wav,45090
FL Piano (37).wav,67346
FL Piano (6).wav,88054
VRZ Full Strings Vibrato (15).wav,79682
FL Piano (14).wav,88166
ride 1 v7 rr1.wav,64960
FL Piano (39).wav,137514
Close Grand 56.wav,140724
kick 1 hq jazz #6.wav,44830
snare hit hq jazz #5.wav,28850
boomin ~.wav,100190
high tom 3 v4 rr1.wav,58268
Close Grand 82.wav,45902
Close Grand 46.wav,192050
crash hq jazz #2.wav,58702
kick 1 hq jazz #4.wav,44996
snare 4 v7 rr1.wav,9686
hh closed hq jazz #2.wav,14410
AL_ridelong.WAV,692584
ride hq jazz #1.wav,58820
snare 5 v14 rr1.wav,44288
Close Grand 37.wav,198416
Close Grand 16.wav,190316
FL Piano (29).wav,85496
tracy ~.wav,9046
burn ~.wav,60382
OSTR F3.wav,96368
Close Grand 31.wav,200222
FL Piano (2).wav,133286
Close Grand 49.wav,186948
tom 4 hq jazz #5.wav,50528
OSTR C5.wav,101842
Close Grand 29.wav,185848
VRZ Full Strings Vibrato (7).wav,62958
snare 5 v15 rr1.wav,46630
